Book,Author,Frequency,Genres,Length,Rating,Year_Published,Year_Read,Emotion,Series
One of Us Is Next,Karen M. McManus,1,"Mystery, Young Adult, Thriller, Fiction, Contemporary, Romance, Crime",377,3,2020,2021,Indifference,"One of Us Is Lying, #2"
The Chaos Of Standing Still,Jessica Brody,1,"Contemporary, Young Adult, Romance, Fiction, Mental Health",406,3.5,2017,2020,Nostalgia,
Shatter Me,Tahereh Mafi,1,"Fantasy, Dystopia, Young Adult, Romance, Fiction",338,3.75,2011,2015,Excitement,"Shatter Me, #1"
Unravel Me,Tahereh Mafi,1,"Fantasy, Dystopia, Young Adult, Romance, Fiction",461,4,2013,2015,Anticipation,"Shatter Me, #2"
Ignite Me,Tahereh Mafi,1,"Fantasy, Dystopia, Young Adult, Romance, Fiction",421,4.25,2014,2015,Amorous,"Shatter Me, #3"
Restore Me,Tahereh Mafi,1,"Fantasy, Dystopia, Young Adult, Romance, Fiction",435,3.25,2018,2018,Confusion,"Shatter Me, #4"
The Hitchhiker's Guide To The Galaxy,Douglas Adams,1,"Science Fiction, Fiction, Humor, Classics, Fantasy, Comedy",193,3.5,2007,2014,Excitement,
"Everything, Everything",Nicola Yoon,1,"Young Adult, Romance, Contemporary, Fiction, Coming Of Age",312,3,2015,2016,Indifference,
Of Curses and Kisses,Sandhya Menon,1,"Romance, Young Adult, Conteporary, Ficton, Retellings",384,3.25,2020,2020,Indifference,"St. Rosetta's Academy, #1"
In the Woods,Tana French,1,"Mystery, Fiction, Thriller, Crime, Suspense, Adult",431,3.75,2008,2020,Repulsion,"Dublin Murder Squad, #1"
Angels & Demons,Dan Brown,1,"Fiction, Mystery, Thriller, Suspense, Crime",736,4.25,2000,2016,Surprise,"Robert Langdon, #1"
The Da Vinci Code,Dan Brown,1,"Fiction, Mystery, Thriller, Suspense, Crime",489,4.5,2003,2016,Excitement,"Robert Langdon, #2"
The Lightening Thief,Rick Riordian,3,"Fantasy, Young Adult, Mythology, Fiction, Adventure, Greek Mythology, Middle Graade",377,4,2005,2013,Excitement,"Percy Jackson and the Olympians, #1"
The Sea of Monsters,Rick Riordian,3,"Fantasy, Young Adult, Mythology, Fiction, Adventure, Greek Mythology, Middle Graade",279,4.25,2006,2013,Excitement,"Percy Jackson and the Olympians, #2"
The Titan's Curse,Rick Riordian,3,"Fantasy, Young Adult, Mythology, Fiction, Adventure, Greek Mythology, Middle Graade",320,4.75,2007,2013,Excitement,"Percy Jackson and the Olympians, #3"
The Battle of the Labyrinth,Rick Riordian,3,"Fantasy, Young Adult, Mythology, Fiction, Adventure, Greek Mythology, Middle Graade",361,4.25,2008,2013,Excitement,"Percy Jackson and the Olympians, #4"
The Last Olympian,Rick Riordian,3,"Fantasy, Young Adult, Mythology, Fiction, Adventure, Greek Mythology, Middle Graade",381,4.75,2009,2013,Excitement,"Percy Jackson and the Olympians, #5"
Red Queen,Victoria Aveyard,1,"Fantasy, Young Adult, Dystopia, Romance, Fiction, Magic",388,3,2015,2017,Excitement,"Red Queen, #1"
The Diviners,Libba Bray,1,"Fantasy, Young Adult, Historical Fiction, Paranormal, Mystery, Fiction",578,4.25,2012,2016,Fear,"The Diviners, #1"
Lair of Dreams,Libba Bray,1,"Fantasy, Young Adult, Historical Fiction, Paranormal, Mystery, Fiction",613,5,2015,2016,Fear,"The Diviners, #2"
