Title,Author,Length,Rating,Date Published,Date Read,Date Added,Read Count,ISBN13 Number,Amazon Standard Identification Number,Goodreads Number,Review,Cover Image
"Lady Midnight (The Dark Artifices, #1)","Clare, Cassandra*",688pp,5,"Mar 08, 2016",Date Read Not Set,"July 01, 2016",1,9781442468351,,25494343,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460477682l/25494343._SY75_.jpg
"Opposition (Lux, #5)","Armentrout, Jennifer L.*",533pp,4,"Aug 05, 2014",Date Read Not Set,"July 01, 2016",1,9781622662647,1622662644,13644055,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398694101l/13644055._SX50_.jpg
"Origin (Lux, #4)","Armentrout, Jennifer L.*",374pp,4,"Aug 27, 2013",Date Read Not Set,"July 01, 2016",1,,,13644052,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398100888l/13644052._SX50_.jpg
"Ignite Me (Shatter Me, #3)","Mafi, Tahereh",421pp,4,"Feb 04, 2014","Jun 21, 2016","June 21, 2016",1,,B00DB2YN0C,13188676,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375972497l/13188676._SY75_.jpg
"Unravel Me (Shatter Me, #2)","Mafi, Tahereh",480pp,4,"Feb 05, 2013","Jun 20, 2016","June 20, 2016",1,,B0089LOFGC,16126252,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351982601l/16126252._SY75_.jpg
"Shatter Me (Shatter Me, #1)","Mafi, Tahereh",338pp,4,"Nov 15, 2011","Jun 19, 2016","June 18, 2016",1,9780062085481,0062085484,10429045,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310649047l/10429045._SY75_.jpg
"The One (The Selection, #3)","Cass, Kiera*",341pp,4,"May 06, 2014","Jun 14, 2016","June 14, 2016",1,,B00HY5ZRVG,22020741,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427889113l/22020741._SY75_.jpg
"Fablehaven (Fablehaven, #1)","Mull, Brandon*",351pp,4,"Jun 07, 2006",Date Read Not Set,"May 29, 2016",1,9781590385814,1590385810,44652,awesome,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460309528l/44652._SX50_.jpg
The Book Thief,"Zusak, Markus*",592pp,4,"Sep 01, 2005",Date Read Not Set,"May 29, 2016",1,,0375831002,19063,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522157426l/19063._SY75_.jpg
"Sweet Evil (Sweet, #1)","Higgins, Wendy*",447pp,1,"May 01, 2012",Date Read Not Set,"May 29, 2016",1,9780062085610,0062085611,11808950,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337613719l/11808950._SY75_.jpg
"Prep School Confidential (Prep School Confidential, #1)","Taylor, Kara*",310pp,2,"Jul 30, 2013","Jun 10, 2016","May 26, 2016",1,9781250017598,1250017599,13411546,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362062511l/13411546._SX50_.jpg
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","Rowling, J.K.",309pp,4,"Jun 26, 1997",Date Read Not Set,"May 26, 2016",1,,0439554934,3,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022l/3._SY75_.jpg
"Hex Hall (Hex Hall, #1)","Hawkins, Rachel*",323pp,2,"Mar 02, 2010",Date Read Not Set,"May 26, 2016",1,9781423121305,1423121309,5287473,I found it a little pretentious and slightly fake. The plot is not as interesting as the summary and also i found the ending a little abrupt. SPOILERI found it a little pretentious and slightly fake. The plot is not as interesting as the summary and also i found the ending a little abrupt. SPOILER ALERT - I think it was a little to easy for the protagonist to kill the antagonist...more,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368393885l/5287473._SY75_.jpg
"The Lost Hero (The Heroes of Olympus, #1)","Riordan, Rick*",576pp,4,"Oct 12, 2010",Date Read Not Set,"May 21, 2016",1,9781423113393,142311339X,7736182,None,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201003l/7736182._SY75_.jpg
